Gen 22 - Best fitness: 780
Gen 23 - Best fitness: 690
Gen 24 - Best fitness: 660
Gen 25 - Best fitness: 780
Gen 26 - Best fitness: 650
Gen 27 - Best fitness: 680
Gen 28 - Best fitness: 780
Gen 29 - Best fitness: 580
Gen 30 - Best fitness: 690
Gen 31 - Best fitness: 560
Gen 32 - Best fitness: 620
Gen 33 - Best fitness: 530
Gen 34 - Best fitness: 330
Gen 35 - Best fitness: 430
Gen 36 - Best fitness: 620
Gen 37 - Best fitness: 450
Gen 38 - Best fitness: 620
Gen 39 - Best fitness: 500
Best timetable saved to timetable.json


2025-08-15 07:42:42 | Command: C:^\Windows^\py.exe "C:\xampp\htdocs\dcsp\sub_admin\genetic_algorithm.py"
Gen 0 - Best fitness: 790
Gen 1 - Best fitness: 880
Gen 2 - Best fitness: 880
Gen 3 - Best fitness: 880
Gen 4 - Best fitness: 910
Gen 5 - Best fitness: 880
Gen 6 - Best fitness: 850
Gen 7 - Best fitness: 820
Gen 8 - Best fitness: 720
Gen 9 - Best fitness: 720
Gen 10 - Best fitness: 850
Gen 11 - Best fitness: 880
Gen 12 - Best fitness: 780
Gen 13 - Best fitness: 720
Gen 14 - Best fitness: 650
Gen 15 - Best fitness: 750
Gen 16 - Best fitness: 880
Gen 17 - Best fitness: 650
Gen 18 - Best fitness: 750
Gen 19 - Best fitness: 780
Gen 20 - Best fitness: 820
Gen 21 - Best fitness: 660
Gen 22 - Best fitness: 680
Gen 23 - Best fitness: 620
Gen 24 - Best fitness: 790
Gen 25 - Best fitness: 650
Gen 26 - Best fitness: 680
Gen 27 - Best fitness: 720
Gen 28 - Best fitness: 650
Gen 29 - Best fitness: 780
Gen 30 - Best fitness: 750
Gen 31 - Best fitness: 590
Gen 32 - Best fitness: 430
Gen 33 - Best fitness: 470
Gen 34 - Best fitness: 590
Gen 35 - Best fitness: 490
Gen 36 - Best fitness: 680
Gen 37 - Best fitness: 680
Gen 38 - Best fitness: 710
Gen 39 - Best fitness: 540
Best timetable saved to timetable.json


2025-09-05 06:21:12 | Command: C:^\Windows^\py.exe "C:\xampp\htdocs\dcsp\sub_admin\genetic_algorithm.py"
Gen 0 - Best fitness: 820
Gen 1 - Best fitness: 850
Gen 2 - Best fitness: 850
Gen 3 - Best fitness: 780
Gen 4 - Best fitness: 740
Gen 5 - Best fitness: 840
Gen 6 - Best fitness: 680
Gen 7 - Best fitness: 650
Gen 8 - Best fitness: 710
Gen 9 - Best fitness: 650
Gen 10 - Best fitness: 620
Gen 11 - Best fitness: 590
Gen 12 - Best fitness: 750
Gen 13 - Best fitness: 650
Gen 14 - Best fitness: 650
Gen 15 - Best fitness: 590
Gen 16 - Best fitness: 620
Gen 17 - Best fitness: 750
Gen 18 - Best fitness: 560
Gen 19 - Best fitness: 580
Gen 20 - Best fitness: 590
Gen 21 - Best fitness: 630
Gen 22 - Best fitness: 300
Gen 23 - Best fitness: 690
Gen 24 - Best fitness: 590
Gen 25 - Best fitness: 420
Gen 26 - Best fitness: 580
Gen 27 - Best fitness: 610
Gen 28 - Best fitness: 390
Gen 29 - Best fitness: 790
Gen 30 - Best fitness: 720
Gen 31 - Best fitness: 650
Gen 32 - Best fitness: 750
Gen 33 - Best fitness: 620
Gen 34 - Best fitness: 450
Gen 35 - Best fitness: 550
Gen 36 - Best fitness: 720
Gen 37 - Best fitness: 720
Gen 38 - Best fitness: 690
Gen 39 - Best fitness: 750
Best timetable saved to timetable.json


2025-09-05 06:28:47 | Command: C:^\Windows^\py.exe "C:\xampp\htdocs\dcsp\sub_admin\genetic_algorithm.py"
Gen 0 - Best fitness: 750
Gen 1 - Best fitness: 850
Gen 2 - Best fitness: 880
Gen 3 - Best fitness: 790
Gen 4 - Best fitness: 720
Gen 5 - Best fitness: 820
Gen 6 - Best fitness: 790
Gen 7 - Best fitness: 720
Gen 8 - Best fitness: 720
Gen 9 - Best fitness: 620
Gen 10 - Best fitness: 880
Gen 11 - Best fitness: 580
Gen 12 - Best fitness: 750
Gen 13 - Best fitness: 590
Gen 14 - Best fitness: 790
Gen 15 - Best fitness: 620
Gen 16 - Best fitness: 650
Gen 17 - Best fitness: 450
Gen 18 - Best fitness: 760
Gen 19 - Best fitness: 520
Gen 20 - Best fitness: 560
Gen 21 - Best fitness: 720
Gen 22 - Best fitness: 720
Gen 23 - Best fitness: 680
Gen 24 - Best fitness: 680
Gen 25 - Best fitness: 750
Gen 26 - Best fitness: 520
Gen 27 - Best fitness: 650
Gen 28 - Best fitness: 750
Gen 29 - Best fitness: 850
Gen 30 - Best fitness: 720
Gen 31 - Best fitness: 430
Gen 32 - Best fitness: 760
Gen 33 - Best fitness: 720
Gen 34 - Best fitness: 720
Gen 35 - Best fitness: 720
Gen 36 - Best fitness: 750
Gen 37 - Best fitness: 750
Gen 38 - Best fitness: 650
Gen 39 - Best fitness: 650
Best timetable saved to timetable.json


2025-09-05 06:30:58 | Command: C:^\Windows^\py.exe "C:\xampp\htdocs\dcsp\sub_admin\genetic_algorithm.py"
Gen 0 - Best fitness: 560
Gen 1 - Best fitness: 560
Gen 2 - Best fitness: 660
Gen 3 - Best fitness: 590
Gen 4 - Best fitness: 660
Gen 5 - Best fitness: 760
Gen 6 - Best fitness: 660
Gen 7 - Best fitness: 730
Gen 8 - Best fitness: 560
Gen 9 - Best fitness: 630
Gen 10 - Best fitness: 630
Gen 11 - Best fitness: 520
Gen 12 - Best fitness: 560
Gen 13 - Best fitness: 530
Gen 14 - Best fitness: 760
Gen 15 - Best fitness: 760
Gen 16 - Best fitness: 760
Gen 17 - Best fitness: 660
Gen 18 - Best fitness: 400
Gen 19 - Best fitness: 530
Gen 20 - Best fitness: 530
Gen 21 - Best fitness: 430
Gen 22 - Best fitness: 530
Gen 23 - Best fitness: 560
Gen 24 - Best fitness: 660
Gen 25 - Best fitness: 660
Gen 26 - Best fitness: 630
Gen 27 - Best fitness: 660
Gen 28 - Best fitness: 720
Gen 29 - Best fitness: 600
Gen 30 - Best fitness: 530
Gen 31 - Best fitness: 430
Gen 32 - Best fitness: 590
Gen 33 - Best fitness: 530
Gen 34 - Best fitness: 690
Gen 35 - Best fitness: 460
Gen 36 - Best fitness: 660
Gen 37 - Best fitness: 570
Gen 38 - Best fitness: 630
Gen 39 - Best fitness: 470
Best timetable saved to timetable.json


2025-09-05 07:04:31 | Command: C:^\Windows^\py.exe "C:\xampp\htdocs\dcsp\sub_admin\genetic_algorithm.py"
Gen 0 - Best fitness: 530
Gen 1 - Best fitness: 820
Gen 2 - Best fitness: 600
Gen 3 - Best fitness: 790
Gen 4 - Best fitness: 790
Gen 5 - Best fitness: 790
Gen 6 - Best fitness: 760
Gen 7 - Best fitness: 690
Gen 8 - Best fitness: 530
Gen 9 - Best fitness: 700
Gen 10 - Best fitness: 790
Gen 11 - Best fitness: 760
Gen 12 - Best fitness: 730
Gen 13 - Best fitness: 660
Gen 14 - Best fitness: 720
Gen 15 - Best fitness: 720
Gen 16 - Best fitness: 660
Gen 17 - Best fitness: 600
Gen 18 - Best fitness: 720
Gen 19 - Best fitness: 620
Gen 20 - Best fitness: 720
Gen 21 - Best fitness: 660
